341028;06.10.2016;9268 $;AD Ч јндорра;"""ƒомино"
135093;18.04.2008;3042 $;AE Ч ќбъединенные јрабские Ёмираты;"Eleon"""""""
234951;01.02.2020;6634 $;AF Ч јфганистан;јмиго
51687;07.10.2019;7660 $;AG Ч јнтигуа и Ѕарбуда;Excel winner'
656206;21.03.2012;4501 $;AI Ч јнгиль€;69
260182;11.12.2007;7436 $;AL Ч јлбани€;сто одна ночь у ѕетровича
621671;01.10.2016;2711 $;AM Ч јрмени€;Mandapa, a Ritz-Carlton Reserve
756134;22 июн€ 2013 г.;8324 $;AO Ч јнгола;Viroth's Hotel
317496;19 июл€ 2005 г.;8329 $;AQ Ч јнтарктика;Tulemar Bungalows & Villas
914894;14 окт€бр€ 2012 г.;2331 $;AR Ч јргентина;“улемар Ѕунгало & ¬иллас
481844;23 окт€бр€ 2008 г.;3687 $;AS Ч ¬осточное —амоа;Umaid Bhawan Palace Jodhpur
653838;15 апрел€ 2017 г.;8141 $;AT Ч јвстри€;Atlantis, The Palm
199811;29 €нвар€ 2017 г.;1859 $;AU Ч јвстрали€;Al Bustan Rotana Hotel
230939;1 окт€бр€ 2012 г.;8856 $;AW Ч јруба;Al Maha Desert Resort
757114;28 окт€бр€ 2019 г.;7850 $;AZ Ч јзербайджан;Burj Al Arab
822184;5 марта 2018 г.;3400 $;BA Ч Ѕосни€ и √ерцеговина;Al Qasr Madinat Resort Jumeirah
778256;23 июн€ 2012 г.;4543 $;BB Ч Ѕарбадос;Bab Al Shams Desert Resort & Spa
747205;6 феврал€ 2006 г.;1402 $;BD Ч Ѕангладеш;City Season Hotel
931381;26 ма€ 2009 г.;1221 $;BE Ч Ѕельги€;Concorde Hotel & Residence
726068;2 феврал€ 2007 г.;8738 $;BF Ч Ѕуркина-‘асо;Coral Boutique Hotel
893260;21 декабр€ 2011 г.;6546 $;BG Ч Ѕолгари€;Coral Boutique Villa
921638;29.01.2014;320 $;BH Ч Ѕахрейн;Dar Al Masyaf Hotel
739728;01.03.2011;2262 $;BI Ч Ѕурунди;Desert Palm Dubai
